year,annual_income,currency,created_at
2025,1500000,CAD,2025-08-04 15:17:24
2026,1500000,CAD,2025-08-04 15:17:24
2027,1500000,CAD,2025-08-04 15:17:24
2028,1500000,CAD,2025-08-04 15:17:24
2029,1500000,CAD,2025-08-04 15:17:24
2030,0,CAD,2025-08-04 15:17:24
2031,0,CAD,2025-08-04 15:17:24
2032,0,CAD,2025-08-04 15:17:24
2033,0,CAD,2025-08-04 15:17:24
2034,0,CAD,2025-08-04 15:17:24
2035,0,CAD,2025-08-04 15:17:24
2036,0,CAD,2025-08-04 15:17:24
2037,0,CAD,2025-08-04 15:17:24
2038,0,CAD,2025-08-04 15:17:24
2039,0,CAD,2025-08-04 15:17:24
2040,0,CAD,2025-08-04 15:17:24
2041,0,CAD,2025-08-04 15:17:24
2042,0,CAD,2025-08-04 15:17:24
2043,0,CAD,2025-08-04 15:17:24
2044,0,CAD,2025-08-04 15:17:24
2045,0,CAD,2025-08-04 15:17:24
2046,0,CAD,2025-08-04 15:17:24
2047,0,CAD,2025-08-04 15:17:24
2048,0,CAD,2025-08-04 15:17:24
2049,0,CAD,2025-08-04 15:17:24
2050,0,CAD,2025-08-04 15:17:24
2051,0,CAD,2025-08-04 15:17:24
2052,0,CAD,2025-08-04 15:17:24
2053,0,CAD,2025-08-04 15:17:24
2054,0,CAD,2025-08-04 15:17:24
2055,0,CAD,2025-08-04 15:17:24
2056,0,CAD,2025-08-04 15:17:24
2057,0,CAD,2025-08-04 15:17:24
2058,0,CAD,2025-08-04 15:17:24
2059,0,CAD,2025-08-04 15:17:24
2060,0,CAD,2025-08-04 15:17:24
2061,0,CAD,2025-08-04 15:17:24
2062,0,CAD,2025-08-04 15:17:24
2063,0,CAD,2025-08-04 15:17:24
2064,0,CAD,2025-08-04 15:17:24
2065,0,CAD,2025-08-04 15:17:24
2066,0,CAD,2025-08-04 15:17:24
2067,0,CAD,2025-08-04 15:17:24
2068,0,CAD,2025-08-04 15:17:24
2069,0,CAD,2025-08-04 15:17:24
2070,0,CAD,2025-08-04 15:17:24
2071,0,CAD,2025-08-04 15:17:24
2072,0,CAD,2025-08-04 15:17:24
2073,0,CAD,2025-08-04 15:17:24
2074,0,CAD,2025-08-04 15:17:24
